Company: Niger - Emissions: 2 metric tons
Company: Namibia - Emissions: 4 metric tons
Company: Kosovo - Emissions: 8 metric tons
Company: Hungary - Emissions: 90 metric tons
Company: Comoros - Emissions: 0 metric tons
Company: Ghana - Emissions: 20 metric tons
Company: India - Emissions: 3062 metric tons
Company: New Zealand - Emissions: 37 metric tons
Company: Indonesia - Emissions: 737 metric tons
Company: Egypt - Emissions: 271 metric tons
Company: Jamaica - Emissions: 11 metric tons
Company: North America - Emissions: 7363 metric tons
Company: Australia - Emissions: 415 metric tons
Company: Japan - Emissions: 1315 metric tons
Company: Mozambique - Emissions: 8 metric tons
Company: Kazakhstan - Emissions: 307 metric tons
Company: Serbia - Emissions: 60 metric tons
Company: Lesotho - Emissions: 3 metric tons
